Environment,,,,,,,Environment,,,Social,,,,,,,Social,,,Governance,,,,,,Governance,,,ESG,
C,E1,E2,E3,E4,E*W,,C,Score,,C,S1,S2,S3,S4,S*W,,C,Score,,C,G1,G2,G3,G*W,,C,Score,,C,Score
C40,1,0,0,0,0.03,,C40,0.03,,C40,1,0,1,0,0.10,,C40,0.10,,C40,1,1,0,0.17,,C40,0.17,,C40,0.097
C41,0,0,0,0,0.00,,C41,0.00,,C41,0,1,1,0,0.13,,C41,0.13,,C41,1,1,0,0.17,,C41,0.17,,C41,0.097
C42,1,1,0,0,0.08,,C42,0.08,,C42,1,1,1,1,0.25,,C42,0.25,,C42,1,1,0,0.17,,C42,0.17,,C42,0.164
C43,0,1,0,0,0.05,,C43,0.05,,C43,1,1,0,0,0.08,,C43,0.08,,C43,1,1,0,0.17,,C43,0.17,,C43,0.097
C44,0,0,0,0,0.00,,C44,0.00,,C44,0,0,0,0,0.00,,C44,0.00,,C44,1,1,0,0.17,,C44,0.17,,C44,0.056
C45,0,0,0,0,0.00,,C45,0.00,,C45,0,0,0,0,0.00,,C45,0.00,,C45,1,1,0,0.17,,C45,0.17,,C45,0.056
C46,0,0,0,0,0.00,,C46,0.00,,C46,1,0,0,0,0.03,,C46,0.03,,C46,1,1,0,0.17,,C46,0.17,,C46,0.064
C47,0,0,0,0,0.00,,C47,0.00,,C47,1,0,0,0,0.03,,C47,0.03,,C47,1,1,0,0.17,,C47,0.17,,C47,0.064
C48,0,1,0,0,0.05,,C48,0.05,,C48,0,1,1,1,0.23,,C48,0.23,,C48,1,1,0,0.17,,C48,0.17,,C48,0.147
C49,0,1,0,0,0.05,,C49,0.05,,C49,0,1,1,1,0.23,,C49,0.23,,C49,1,1,0,0.17,,C49,0.17,,C49,0.147
C50,1,0,0,0,0.03,,C50,0.03,,C50,1,1,1,0,0.15,,C50,0.15,,C50,1,1,0,0.17,,C50,0.17,,C50,0.114
C51,1,1,0,0,0.08,,C51,0.08,,C51,1,1,1,0,0.15,,C51,0.15,,C51,1,1,0,0.17,,C51,0.17,,C51,0.131
C52,1,1,1,0,0.15,,C52,0.15,,C52,1,1,1,0,0.15,,C52,0.15,,C52,1,1,0,0.17,,C52,0.17,,C52,0.156
C53,0,0,0,0,0.00,,C53,0.00,,C53,1,1,1,0,0.15,,C53,0.15,,C53,1,1,0,0.17,,C53,0.17,,C53,0.106
C54,0,1,0,0,0.05,,C54,0.05,,C54,1,1,1,1,0.25,,C54,0.25,,C54,1,1,1,0.33,,C54,0.33,,C54,0.211
C55,1,0,0,0,0.03,,C55,0.03,,C55,1,1,0,0,0.08,,C55,0.08,,C55,1,1,0,0.17,,C55,0.17,,C55,0.089
C56,1,1,1,0,0.15,,C56,0.15,,C56,1,1,1,0,0.15,,C56,0.15,,C56,1,1,0,0.17,,C56,0.17,,C56,0.156
C57,1,0,0,0,0.03,,C57,0.03,,C57,1,1,1,0,0.15,,C57,0.15,,C57,1,1,0,0.17,,C57,0.17,,C57,0.114
C58,0,0,0,0,0.00,,C58,0.00,,C58,0,1,1,0,0.13,,C58,0.13,,C58,1,1,0,0.17,,C58,0.17,,C58,0.097
C59,1,1,1,0,0.15,,C59,0.15,,C59,1,1,1,0,0.15,,C59,0.15,,C59,1,1,0,0.17,,C59,0.17,,C59,0.156
C60,1,1,0,0,0.08,,C60,0.08,,C60,0,1,1,0,0.13,,C60,0.13,,C60,1,1,0,0.17,,C60,0.17,,C60,0.122
C61,1,1,0,0,0.08,,C61,0.08,,C61,0,0,0,0,0.00,,C61,0.00,,C61,1,1,0,0.17,,C61,0.17,,C61,0.081
C62,0,1,0,0,0.05,,C62,0.05,,C62,1,1,1,1,0.25,,C62,0.25,,C62,1,1,0,0.17,,C62,0.17,,C62,0.156
